Main Job Field,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005 Februari,2005 November,2006 Februari,2006 Agustus,2007 Februari,2007 Agustus,2008 Februari,2008 Agustus,2009 Februari,2009 Agustus,2010 Februari,2010 Agustus,2011 Februari,2011 Agustus,2012 Februari,2012 Agustus,2013 Februari,2013 Agustus,2014 Februari,2014 Agustus,2015 Februari,2015 Agustus,2016 Februari,2016 Agustus,2017 Februari,2017 Agustus,2018 Agustus,2019 Agustus,2020 Agustus,2021 Februari
"Agriculture, Plantation, Forestry, Hunting, and Fishing",35543142,36646245,38286012,38885032,40285307,39385946,40147016,38272181,36238118,0,36239537,34536947,39144556,38378133,40676713,39743908,40633627,43042104,40608019,41814197,41309776,42323190,40136242,42608760,41206474,42689635,41331706,43029493,41611840,42825807,41494941,42456452,39088271,41665576,39590054,40764720,39220261,40833052,38973033,40122816,37748228,38291111,37770165,39678453,35923886,35703074,34577831,38224371,38777600
Mining and Quarrying,0,0,0,438761,511452,551581,515405,638768,725181,0,751217,875125,674597,725739,451931,950399,631802,732768,1034716,808842,904194,947097,923591,1020807,994614,1062309,1070540,1139495,1155233,1188634,1254501,1360637,1434961,1615563,1602706,1558686,1426454,1623109,1436370,1420917,1320466,1311834,1476484,1370669,1391690,1454256,1422304,1352236,1348217
Industry,5389177,5621984,5812086,7096350,7459143,7712468,8026203,8545450,10572928,0,10558983,10993530,9918990,11515955,11641756,12086122,12109997,11495887,11070498,11652406,11952985,11578141,11890170,12094067,12368729,12440141,12549376,12615440,12839800,13052521,13824251,13875653,14541562,14392751,15615386,14998937,14959804,15390188,15254674,16382756,15255099,15975086,15540234,16573121,17008865,18251456,18928035,17482849,17823568
"Electricity, Gas, and Drinking Water",0,0,0,124825,134716,148480,160284,168481,182176,0,163563,232479,147849,188321,70629,140721,178279,151831,230869,186801,194642,207102,228018,247059,174884,207909,201114,209441,223054,208494,234070,258711,234347,301815,251162,260116,252134,308588,289193,311834,288697,403824,357207,414849,393873,809514,851851,794535,773157
Construction,0,0,0,1811141,2042740,2415002,2497393,2785693,3530881,0,3772397,4174289,3516940,3415147,3497232,3837554,4273914,4054741,4540102,4417087,4565454,4373950,4697354,4397132,5252581,4733679,5438965,4610695,5486817,4844689,5592897,5645120,6263797,6148016,6851291,6952928,6349387,7211967,7280086,7714384,8208086,7707297,7978567,7162968,8136636,8300297,8505542,8066497,7929651
"Trade, Restaurant, and Accommodation Services",9531179,10235219,10427298,10679634,10827988,11190391,11530523,12267456,13710719,0,15822191,16936348,16786274,17529099,18489005,17469129,17795030,17249484,19119156,18896902,17909147,18555057,19215660,19425270,20554650,20684041,21221744,21836768,21947823,22212885,22492176,23483111,22297686,24312988,23517145,25270435,24105906,25809269,24829734,26647168,25686342,28495436,26689630,29104970,28173571,30735751,32258585,33246489,34329155
"Transportation, Storage, and Communication",0,0,0,2179648,2300652,2475803,2555805,2914592,3351665,0,3930994,4120829,4147206,4206067,4553855,4448279,4672584,4939665,5480527,5552525,5652841,5467308,5663956,5575499,5958811,6013947,6179503,5947673,6117985,5817680,5619022,5649885,5006473,5234636,5052302,5285277,5096987,5324105,5113188,5192181,5106817,5192491,5608749,5692432,5759684,6293255,6476991,6525214,6391120
"Financial Institution, Real Estate, Rental Business, and Business Activities",0,0,0,395809,477221,515401,572619,563539,623220,0,686518,655380,617722,633744,882600,1127823,991745,1306551,1125056,1042786,1141852,1153292,1346044,1252195,1399490,1440042,1459985,1484598,1486596,1639748,1739486,2099308,2577847,2809856,2696090,3045787,2898279,3193357,3031038,3643881,3266538,3481598,3531525,3592657,3752262,3851629,4074797,3748347,3876613
"Community Services, Social Services, and Individual Services",9909502,11105198,11300206,8765534,8949638,9377036,9788875,10427517,10621270,0,11616597,12518919,12338407,12224654,9574009,11003482,10360188,9837760,10513093,10576572,10327496,10571965,11355900,10962352,12019984,12778154,13099817,13611841,14001515,15615114,15956423,17217002,15971365,17580781,17328732,17792726,18451860,18476287,18420710,19410884,17938926,19789020,19459412,20948730,20481956,18605718,19419183,19013646,19815224
Unclear boundary,0,0,0,49990,115681,139516,97438,134588,131072,0,10364,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,4889954,3967463,3687416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanswered,121437,2851,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,65384391,67578960,69518618,70426724,73104538,73911624,75891561,76718265,79687230,0,83552361,85047007,87292541,88816859,89837730,90807417,91647166,92810791,93722036,94948118,93958387,95177102,95456935,97583141,99930217,102049857,102552750,104485444,104870663,107405572,108207767,112045879,107416309,114061982,112504868,115929612,112761072,118169922,114628026,120846821,114819199,120647697,118411973,124538849,121022423,124004950,126515119,128454184,131064305
